From,Interface,Media Type,To,Interface,Media Type,Notes,Cable
nyc-11-sw1,twe1/1/1,SFP-10/25GBase-CSR,nyc-core-sw1,twe1/0/20,SFP-10/25GBase-CSR,fiber,OM4 MMF
,twe2/1/1,SFP-10/25GBase-CSR,nyc-core-sw2,twe1/0/20,SFP-10/25GBase-CSR,fiber,OM4 MMF
,,,,,,,
nyc-11-sw2,twe1/1/1,SFP-10/25GBase-CSR,nyc-core-sw1,twe1/0/21,SFP-10/25GBase-CSR,fiber,OM4 MMF
,twe2/1/1,SFP-10/25GBase-CSR,nyc-core-sw2,twe1/0/21,SFP-10/25GBase-CSR,fiber,OM4 MMF
,,,,,,,
nyc-21-sw1,twe1/1/1,SFP-10/25GBase-CSR,nyc-core-sw1,twe1/0/22,SFP-10/25GBase-CSR,fiber,OM4 MMF
,twe2/1/1,SFP-10/25GBase-CSR,nyc-core-sw2,twe1/0/22,SFP-10/25GBase-CSR,fiber,OM4 MMF
,,,,,,,
nyc-21-sw2,twe1/1/1,SFP-10/25GBase-CSR,nyc-core-sw1,twe1/0/23,SFP-10/25GBase-CSR,fiber,OM4 MMF
,twe2/1/1,SFP-10/25GBase-CSR,nyc-core-sw2,twe1/0/23,SFP-10/25GBase-CSR,fiber,OM4 MMF
,,,,,,,
